"日付","始値","高値","安値","終値"
"2020/02/07","29,286.92","29,286.92","29,056.98","29,102.51"
"2020/02/06","29,388.58","29,408.05","29,246.93","29,379.77"
"2020/02/05","29,048.73","29,308.89","29,000.85","29,290.85"
"2020/02/04","28,696.74","28,904.88","28,696.74","28,807.63"
"2020/02/03","28,319.65","28,630.39","28,319.65","28,399.81"
"2020/01/31","28,813.04","28,813.04","28,169.53","28,256.03"
"2020/01/30","28,640.16","28,879.71","28,489.76","28,859.44"
"2020/01/29","28,820.53","28,944.24","28,728.19","28,734.45"
"2020/01/28","28,594.28","28,823.23","28,575.75","28,722.85"
"2020/01/27","28,542.49","28,671.79","28,440.47","28,535.80"
"2020/01/24","29,230.39","29,288.79","28,843.31","28,989.73"
"2020/01/23","29,111.02","29,190.47","28,966.98","29,160.09"
"2020/01/22","29,263.63","29,320.20","29,172.26","29,186.27"
"2020/01/21","29,269.05","29,341.21","29,146.47","29,196.04"
"2020/01/17","29,313.31","29,373.62","29,289.91","29,348.10"
"2020/01/16","29,131.95","29,300.32","29,131.95","29,297.64"
"2020/01/15","28,901.80","29,127.59","28,897.35","29,030.22"
"2020/01/14","28,895.50","29,054.16","28,872.27","28,939.67"
"2020/01/13","28,869.01","28,909.91","28,819.43","28,907.05"
"2020/01/10","28,977.52","29,009.07","28,789.10","28,823.77"
"2020/01/09","28,851.97","28,988.01","28,844.31","28,956.90"
"2020/01/08","28,556.14","28,866.18","28,522.51","28,745.09"
"2020/01/07","28,639.18","28,685.50","28,565.28","28,583.68"
"2020/01/06","28,465.50","28,708.02","28,418.63","28,703.38"
"2020/01/03","28,553.33","28,716.31","28,500.36","28,634.88"
"2020/01/02","28,638.97","28,872.80","28,627.77","28,868.80"
"2019/12/31","28,414.64","28,547.35","28,376.49","28,538.44"
"2019/12/30","28,654.76","28,664.69","28,428.98","28,462.14"
"2019/12/27","28,675.34","28,701.66","28,608.98","28,645.26"
"2019/12/26","28,539.46","28,624.10","28,535.15","28,621.39"
"2019/12/24","28,572.57","28,576.80","28,503.21","28,515.45"
"2019/12/23","28,491.78","28,582.49","28,491.78","28,551.53"
"2019/12/20","28,608.64","28,608.64","28,445.60","28,455.09"
"2019/12/19","28,278.31","28,381.48","28,278.24","28,376.96"
"2019/12/18","28,291.44","28,323.25","28,239.28","28,239.28"
"2019/12/17","28,221.75","28,328.63","28,220.56","28,267.16"
"2019/12/16","28,191.67","28,337.49","28,191.67","28,235.89"
"2019/12/13","28,123.64","28,290.73","28,028.32","28,135.38"
"2019/12/12","27,898.34","28,224.95","27,859.87","28,132.05"
"2019/12/11","27,867.31","27,925.50","27,801.80","27,911.30"
"2019/12/10","27,900.65","27,949.02","27,804.00","27,881.72"
"2019/12/09","27,987.05","28,010.42","27,906.14","27,909.60"
"2019/12/06","27,839.68","28,035.85","27,839.68","28,015.06"
"2019/12/05","27,736.05","27,745.20","27,562.80","27,677.79"
"2019/12/04","27,634.63","27,727.45","27,612.08","27,649.78"
"2019/12/03","27,501.98","27,524.74","27,325.13","27,502.81"
"2019/12/02","28,109.74","28,109.84","27,782.35","27,783.04"
"2019/11/29","28,103.16","28,119.51","28,042.53","28,051.41"
"2019/11/27","28,156.47","28,174.97","28,075.23","28,164.00"
"2019/11/26","28,080.75","28,146.02","28,042.21","28,121.68"
"2019/11/25","27,917.77","28,068.69","27,917.77","28,066.47"
"2019/11/22","27,831.23","27,898.46","27,773.98","27,875.62"
"2019/11/21","27,820.28","27,828.33","27,708.34","27,766.29"
"2019/11/20","27,879.55","27,897.28","27,675.28","27,821.09"
"2019/11/19","28,079.76","28,090.21","27,894.52","27,934.02"
"2019/11/18","27,993.22","28,040.97","27,969.24","28,036.22"
"2019/11/15","27,843.54","28,004.89","27,843.54","28,004.89"
"2019/11/14","27,757.20","27,800.71","27,676.97","27,781.96"
"2019/11/13","27,622.04","27,806.40","27,587.20","27,783.59"
"2019/11/12","27,701.59","27,770.86","27,635.32","27,691.49"
"2019/11/11","27,580.66","27,714.39","27,517.67","27,691.49"
"2019/11/08","27,686.20","27,694.95","27,578.97","27,681.24"
"2019/11/07","27,590.16","27,774.67","27,590.16","27,674.80"
"2019/11/06","27,502.74","27,526.05","27,407.81","27,492.56"
"2019/11/05","27,500.23","27,560.36","27,453.55","27,492.63"
"2019/11/04","27,402.06","27,517.58","27,402.06","27,462.11"
"2019/11/01","27,142.95","27,347.43","27,142.95","27,347.36"
"2019/10/31","27,188.37","27,188.37","26,918.29","27,046.23"
"2019/10/30","27,110.71","27,204.36","26,999.64","27,186.69"
"2019/10/29","27,061.07","27,165.94","27,039.76","27,071.42"
"2019/10/28","27,040.33","27,167.88","27,028.71","27,090.72"
"2019/10/25","26,789.61","27,015.37","26,765.68","26,958.06"
"2019/10/24","26,893.93","26,931.78","26,714.34","26,805.53"
"2019/10/23","26,835.24","26,896.89","26,745.00","26,833.95"
"2019/10/22","26,850.43","26,946.64","26,782.61","26,788.10"
"2019/10/21","26,852.67","26,852.67","26,747.62","26,827.64"
"2019/10/18","27,004.49","27,018.25","26,770.13","26,770.20"
"2019/10/17","27,032.38","27,112.16","26,970.29","27,025.88"
"2019/10/16","26,972.31","27,058.34","26,943.29","27,001.98"
"2019/10/15","26,811.20","27,120.11","26,811.20","27,024.80"
"2019/10/14","26,766.43","26,874.33","26,749.18","26,787.36"
"2019/10/11","26,694.20","27,013.97","26,694.20","26,816.59"
"2019/10/10","26,317.35","26,603.31","26,314.51","26,496.67"
"2019/10/09","26,308.23","26,424.31","26,249.75","26,346.01"
"2019/10/08","26,276.59","26,421.81","26,139.80","26,164.04"
"2019/10/07","26,502.33","26,655.84","26,424.54","26,478.02"
"2019/10/04","26,271.70","26,590.74","26,271.70","26,573.72"
"2019/10/03","26,039.02","26,205.20","25,743.46","26,201.04"
"2019/10/02","26,425.86","26,438.04","25,974.12","26,078.62"
"2019/10/01","26,962.54","27,046.21","26,562.22","26,573.04"
"2019/09/30","26,852.33","26,998.86","26,852.33","26,916.83"
"2019/09/27","26,987.26","27,012.54","26,715.82","26,820.25"
"2019/09/26","27,004.11","27,015.07","26,803.84","26,891.12"
"2019/09/25","26,866.71","27,016.56","26,755.86","26,970.71"
"2019/09/24","27,034.07","27,079.68","26,704.96","26,807.77"
"2019/09/23","26,851.45","27,011.07","26,831.34","26,949.99"
"2019/09/20","27,102.18","27,194.75","26,926.68","26,935.07"
"2019/09/19","27,186.05","27,272.17","27,064.21","27,094.79"
"2019/09/18","27,075.39","27,161.93","26,899.15","27,147.08"
"2019/09/17","27,010.12","27,110.80","26,984.14","27,110.80"
