"日付","買気配","売気配","高値","安値","5DMA","25DMA","75DMA"
"2020/02/07","120.11","120.17","120.80","120.04","120.57","121.18","120.90"
"2020/02/06","120.76","120.78","121.00","120.53","120.59","121.27","120.90"
"2020/02/05","120.76","120.84","121.14","120.61","120.47","121.30","120.89"
"2020/02/04","120.93","121.00","120.98","120.03","120.32","121.32","120.88"
"2020/02/03","120.21","120.23","120.38","119.85","120.19","121.34","120.85"
"2020/01/31","120.18","120.26","120.39","119.99","120.14","121.38","120.82"
"2020/01/30","120.15","120.22","120.24","119.74","120.19","121.42","120.78"
"2020/01/29","120.00","120.04","120.42","119.85","120.37","121.48","120.75"
"2020/01/28","120.29","120.34","120.32","119.77","120.73","121.55","120.71"
"2020/01/27","119.99","120.01","120.49","119.87","121.02","121.62","120.67"
"2020/01/24","120.45","120.47","121.25","120.37","121.47","121.70","120.64"
"2020/01/23","121.03","121.10","121.87","120.59","121.82","121.74","120.60"
"2020/01/22","121.85","121.87","122.00","121.57","122.14","121.77","120.56"
"2020/01/21","121.74","121.78","122.35","121.68","122.27","121.73","120.51"
"2020/01/20","122.22","122.26","122.31","121.99","122.40","121.68","120.45"
"2020/01/17","122.16","122.21","122.82","122.08","122.31","121.60","120.40"
"2020/01/16","122.66","122.69","122.86","122.46","122.19","121.51","120.34"
"2020/01/15","122.53","122.55","122.70","122.16","121.90","121.44","120.28"
"2020/01/14","122.34","122.42","122.74","122.13","121.57","121.36","120.24"
"2020/01/10","121.75","121.83","121.82","121.48","121.38","121.28","120.20"
"2020/01/09","121.60","121.63","121.66","121.09","121.41","121.23","120.18"
"2020/01/08","121.20","121.22","121.38","120.13","121.56","121.20","120.15"
"2020/01/07","120.87","120.94","121.43","120.75","121.65","121.17","120.13"
"2020/01/06","121.37","121.42","121.39","120.23","121.73","121.15","120.10"
"2019/12/30","121.93","121.97","122.43","121.80","121.71","121.11","120.07"
"2019/12/27","122.34","122.41","122.43","121.46","121.58","121.03","120.02"
"2019/12/26","121.65","121.68","121.78","121.21","121.35","120.92","119.96"
"2019/12/25","121.27","121.32","121.89","121.04","121.34","120.86","119.91"
"2019/12/24","121.26","121.30","121.38","121.06","121.43","120.82","119.86"
"2019/12/23","121.29","121.32","121.35","121.05","121.59","120.78","119.79"
"2019/12/20","121.23","121.25","121.69","121.15","121.74","120.74","119.73"
"2019/12/19","121.57","121.62","122.04","121.38","121.81","120.70","119.67"
"2019/12/18","121.75","121.81","122.16","121.71","121.82","120.61","119.62"
"2019/12/17","122.04","122.06","122.46","121.88","121.62","120.53","119.56"
"2019/12/16","122.06","122.10","122.22","121.56","121.34","120.45","119.50"
"2019/12/13","121.52","121.58","122.64","121.43","120.95","120.38","119.44"
"2019/12/12","121.62","121.66","121.72","120.72","120.66","120.33","119.38"
"2019/12/11","120.78","120.83","120.91","120.33","120.48","120.29","119.33"
"2019/12/10","120.65","120.69","120.68","120.06","120.44","120.29","119.30"
"2019/12/09","120.11","120.14","120.26","119.95","120.38","120.30","119.26"
"2019/12/06","120.05","120.10","120.78","119.96","120.50","120.32","119.24"
"2019/12/05","120.76","120.78","120.88","120.52","120.61","120.33","119.21"
"2019/12/04","120.56","120.62","120.80","120.06","120.57","120.36","119.17"
"2019/12/03","120.35","120.37","120.95","120.21","120.55","120.37","119.13"
"2019/12/02","120.69","120.73","121.03","120.48","120.52","120.40","119.12"
"2019/11/29","120.59","120.67","120.75","120.36","120.37","120.38","119.09"
"2019/11/28","120.54","120.60","120.58","120.28","120.18","120.38","119.06"
"2019/11/27","120.48","120.51","120.59","120.02","120.09","120.40","119.04"
"2019/11/26","120.22","120.24","120.23","119.89","120.05","120.42","119.02"
"2019/11/25","119.94","119.96","120.11","119.64","120.05","120.46","119.00"
"2019/11/22","119.67","119.74","120.46","119.63","120.12","120.49","118.98"
"2019/11/21","120.11","120.14","120.57","119.91","120.23","120.52","118.97"
"2019/11/20","120.23","120.30","120.38","119.80","120.10","120.52","118.98"
"2019/11/19","120.22","120.24","120.48","119.97","120.01","120.50","118.99"
"2019/11/18","120.31","120.36","120.66","120.06","119.96","120.44","119.00"
"2019/11/15","120.21","120.27","120.31","119.40","119.95","120.34","119.01"
"2019/11/14","119.47","119.49","119.80","119.22","119.97","120.23","119.02"
"2019/11/13","119.75","119.79","120.17","119.54","120.22","120.15","119.04"
"2019/11/12","119.97","119.99","120.62","119.90","120.39","120.06","119.05"
"2019/11/11","120.29","120.31","120.42","120.03","120.58","119.95","119.06"
"2019/11/08","120.32","120.38","120.87","120.17","120.66","119.83","119.07"
"2019/11/07","120.73","120.75","121.10","120.10","120.68","119.73","119.08"
"2019/11/06","120.61","120.64","120.90","120.43","120.80","119.61","119.08"
"2019/11/05","120.87","120.91","121.29","120.61","120.87","119.51","119.09"
"2019/11/01","120.72","120.76","120.92","120.25","120.89","119.38","119.10"
"2019/10/31","120.41","120.43","121.48","120.25","120.82","119.27","119.12"
"2019/10/30","121.36","121.38","121.39","120.83","120.86","119.18","119.14"
"2019/10/29","120.94","120.97","121.05","120.54","120.78","119.06","119.15"
"2019/10/28","120.95","120.99","120.98","120.37","120.80","118.99","119.16"
"2019/10/25","120.37","120.42","120.79","120.32","120.82","118.94","119.17"
"2019/10/24","120.61","120.66","121.38","120.39","120.91","118.91","119.19"
"2019/10/23","120.95","121.00","121.04","120.35","120.87","118.87","119.20"
"2019/10/21","121.07","121.09","121.46","120.74","120.70","118.82","119.21"
"2019/10/18","121.04","121.09","121.08","120.62","120.41","118.73","119.23"
"2019/10/17","120.83","120.87","121.34","120.30","119.96","118.63","119.25"
"2019/10/16","120.42","120.44","120.46","119.70","119.38","118.54","119.27"
"2019/10/15","120.11","120.13","120.21","119.09","118.75","118.44","119.30"
"2019/10/11","119.61","119.66","120.00","118.68","118.27","118.35","119.33"
"2019/10/10","118.74","118.82","118.94","117.54","117.81","118.26","119.36"
"2019/10/09","117.93","117.95","118.08","117.17","117.50","118.16","119.40"
"2019/10/08","117.27","117.34","117.96","117.09","117.39","118.10","119.45"
"2019/10/07","117.69","117.72","117.88","116.99","117.49","118.08","119.50"
"2019/10/04","117.35","117.39","117.50","117.04","117.51","118.09","119.55"
"2019/10/03","117.18","117.23","117.64","117.04","117.65","118.09","119.61"
"2019/10/02","117.40","117.45","118.00","117.29","117.76","118.09","119.67"
"2019/10/01","117.76","117.80","118.16","117.63","117.87","118.11","119.73"
"2019/09/30","117.80","117.82","118.21","117.50","117.91","118.09","119.80"
"2019/09/27","118.05","118.10","118.47","117.41","118.04","118.10","119.86"
"2019/09/26","117.74","117.78","118.05","117.48","118.28","118.10","119.93"
"2019/09/25","117.91","117.97","118.19","117.75","118.65","118.11","119.99"
"2019/09/24","117.96","118.03","118.54","117.85","119.01","118.11","120.05"
"2019/09/20","118.42","118.50","119.36","118.41","119.35","118.11","120.10"
"2019/09/19","119.25","119.33","119.64","118.91","119.58","118.09","120.14"
"2019/09/18","119.58","119.63","119.80","119.37","119.47","118.04","120.17"
"2019/09/17","119.69","119.73","119.77","118.83","119.30","118.02","120.19"
"2019/09/13","119.71","119.76","119.98","119.49","119.05","117.97","120.22"
"2019/09/12","119.57","119.61","119.80","117.50","118.68","117.92","120.25"
"2019/09/11","118.73","118.79","119.15","118.26","118.36","117.90","120.28"
"2019/09/10","118.72","118.75","118.78","118.24","118.09","117.92","120.33"
"2019/09/09","118.46","118.48","118.50","117.67","117.60","117.92","120.38"
