"日付","買気配","売気配","高値","安値","5DMA","25DMA","75DMA"
"2020/02/07","1.0942","1.0945","1.0985","1.0940","1.1005","1.1077","1.1081"
"2020/02/06","1.0980","1.0981","1.1013","1.0962","1.1035","1.1086","1.1083"
"2020/02/05","1.0996","1.1000","1.1047","1.0991","1.1045","1.1091","1.1083"
"2020/02/04","1.1043","1.1047","1.1064","1.1031","1.1047","1.1095","1.1084"
"2020/02/03","1.1060","1.1061","1.1095","1.1033","1.1042","1.1096","1.1083"
"2020/01/31","1.1093","1.1097","1.1095","1.1015","1.1034","1.1097","1.1082"
"2020/01/30","1.1030","1.1032","1.1038","1.1002","1.1020","1.1096","1.1080"
"2020/01/29","1.1006","1.1007","1.1027","1.0990","1.1026","1.1100","1.1079"
"2020/01/28","1.1021","1.1022","1.1026","1.0996","1.1043","1.1104","1.1079"
"2020/01/27","1.1019","1.1020","1.1037","1.1007","1.1055","1.1109","1.1078"
"2020/01/24","1.1025","1.1026","1.1061","1.1018","1.1070","1.1114","1.1077"
"2020/01/23","1.1057","1.1061","1.1108","1.1034","1.1084","1.1118","1.1076"
"2020/01/22","1.1093","1.1094","1.1098","1.1068","1.1099","1.1121","1.1074"
"2020/01/21","1.1082","1.1083","1.1118","1.1078","1.1110","1.1122","1.1072"
"2020/01/20","1.1095","1.1096","1.1102","1.1074","1.1119","1.1123","1.1070"
"2020/01/17","1.1089","1.1093","1.1142","1.1084","1.1124","1.1121","1.1068"
"2020/01/16","1.1135","1.1136","1.1172","1.1126","1.1127","1.1120","1.1067"
"2020/01/15","1.1148","1.1151","1.1163","1.1117","1.1121","1.1119","1.1065"
"2020/01/14","1.1126","1.1127","1.1144","1.1102","1.1121","1.1116","1.1064"
"2020/01/10","1.1120","1.1124","1.1129","1.1083","1.1135","1.1114","1.1063"
"2020/01/09","1.1106","1.1107","1.1120","1.1090","1.1151","1.1112","1.1062"
"2020/01/08","1.1105","1.1106","1.1168","1.1103","1.1165","1.1109","1.1062"
"2020/01/07","1.1145","1.1149","1.1197","1.1131","1.1163","1.1105","1.1061"
"2020/01/06","1.1196","1.1200","1.1206","1.1153","1.1152","1.1099","1.1059"
"2019/12/30","1.1200","1.1202","1.1222","1.1169","1.1130","1.1092","1.1057"
"2019/12/27","1.1176","1.1179","1.1187","1.1091","1.1107","1.1085","1.1055"
"2019/12/26","1.1096","1.1097","1.1109","1.1080","1.1087","1.1078","1.1053"
"2019/12/25","1.1089","1.1093","1.1105","1.1071","1.1092","1.1077","1.1052"
"2019/12/24","1.1085","1.1088","1.1094","1.1067","1.1096","1.1076","1.1051"
"2019/12/23","1.1089","1.1090","1.1095","1.1067","1.1108","1.1076","1.1050"
"2019/12/20","1.1074","1.1075","1.1125","1.1064","1.1119","1.1075","1.1048"
"2019/12/19","1.1120","1.1121","1.1144","1.1106","1.1127","1.1074","1.1047"
"2019/12/18","1.1112","1.1115","1.1154","1.1109","1.1129","1.1070","1.1046"
