,日付,始値_x,高値_x,安値_x,終値_x,買気配_x,売気配_x,高値_y,安値_y,5DMA_x,25DMA_x,75DMA_x,買気配_y,売気配_y,高値_x,安値_x,5DMA_y,25DMA_y,75DMA_y,始値_y,高値_y,安値_y,終値_y,始値_x,高値_x,安値_x,終値_x,前日比_x,5DMA_x,25DMA_x,75DMA_x,始値_y,高値_y,安値_y,終値_y,前日比_y,出来高,5DMA_y,25DMA_y,75DMA_y,5DVMA,25DVMA,75DVMA,買気配,売気配,高値,安値,5DMA,25DMA,75DMA
0,2020/02/07,"29,286.92","29,286.92","29,056.98","29,102.51",120.11,120.17,120.8,120.04,120.57,121.18,120.9,1.0942,1.0945,1.0985,1.094,1.1005,1.1077,1.1081,"9,526.64","9,570.09","9,496.53","9,520.51","23,899.01","23,943.45","23,759.42","23,827.98",-45.61,"23,415.53","23,597.99","23,413.38","1,739.28","1,740.09","1,728.35","1,732.14",-4.84,"126,463","1,705.57","1,716.45","1,704.03","137,667","116,389","118,570",109.77,109.79,110.02,109.51,109.55,109.39,109.1
1,2020/02/06,"29,388.58","29,408.05","29,246.93","29,379.77",120.76,120.78,121.0,120.53,120.59,121.27,120.9,1.098,1.0981,1.1013,1.0962,1.1035,1.1086,1.1083,"9,540.98","9,575.66","9,505.68","9,572.15","23,641.10","23,995.37","23,625.13","23,873.59",554.03,"23,290.97","23,598.38","23,395.31","1,722.95","1,744.43","1,722.28","1,736.98",35.15,"165,442","1,696.03","1,716.49","1,702.69","139,913","114,633","118,787",109.98,109.99,109.99,109.7,109.27,109.38,109.08
2,2020/02/05,"29,048.73","29,308.89","29,000.85","29,290.85",120.76,120.84,121.14,120.61,120.47,121.3,120.89,1.0996,1.1,1.1047,1.0991,1.1045,1.1091,1.1083,"9,574.10","9,574.94","9,454.93","9,508.68","23,351.47","23,414.69","23,241.64","23,319.56",234.97,"23,111.80","23,600.43","23,373.09","1,701.79","1,706.69","1,696.03","1,701.83",17.59,"132,970","1,683.58","1,716.26","1,701.13","134,179","111,303","118,293",109.82,109.85,109.84,109.28,109.06,109.36,109.07
3,2020/02/04,"28,696.74","28,904.88","28,696.74","28,807.63",120.93,121.0,120.98,120.03,120.32,121.32,120.88,1.1043,1.1047,1.1064,1.1031,1.1047,1.1095,1.1084,"9,398.39","9,485.38","9,374.05","9,467.97","22,881.13","23,118.13","22,854.45","23,084.59",112.65,"23,123.77","23,618.96","23,352.81","1,667.25","1,685.96","1,666.59","1,684.24",11.58,"127,663","1,683.21","1,717.04","1,699.71","128,244","109,091","118,116",109.51,109.52,109.54,108.53,108.9,109.34,109.05
4,2020/02/03,"28,319.65","28,630.39","28,319.65","28,399.81",120.21,120.23,120.38,119.85,120.19,121.34,120.85,1.106,1.1061,1.1095,1.1033,1.1042,1.1096,1.1083,"9,190.72","9,299.85","9,188.55","9,273.40","22,874.27","23,023.73","22,775.92","22,971.94",-233.24,"23,149.99","23,648.80","23,332.38","1,660.66","1,677.23","1,656.33","1,672.66",-11.78,"135,797","1,684.82","1,718.80","1,698.34","126,136","107,447","117,839",108.69,108.7,108.79,108.31,108.83,109.34,109.03
5,2020/01/31,"28,813.04","28,813.04","28,169.53","28,256.03",120.18,120.26,120.39,119.99,120.14,121.38,120.82,1.1093,1.1097,1.1095,1.1015,1.1034,1.1097,1.1082,"9,324.33","9,324.80","9,123.22","9,150.94","23,148.92","23,421.59","23,139.98","23,205.18",227.43,"23,224.31","23,682.77","23,312.17","1,684.52","1,699.19","1,683.34","1,684.44",9.67,"137,692","1,690.80","1,721.07","1,697.13","122,586","105,839","117,422",108.34,108.37,109.13,108.3,108.87,109.37,109.01
6,2020/01/30,"28,640.16","28,879.71","28,489.76","28,859.44",120.15,120.22,120.24,119.74,120.19,121.42,120.78,1.103,1.1032,1.1038,1.1002,1.102,1.1096,1.108,"9,211.15","9,303.00","9,185.18","9,298.93","23,284.58","23,318.57","22,892.95","22,977.75",-401.65,"23,348.71","23,707.23","23,290.61","1,693.65","1,695.79","1,667.30","1,674.77",-25.18,"136,771","1,700.00","1,723.02","1,695.82","114,356","105,609","117,071",108.95,108.96,109.07,108.57,109.05,109.41,108.99
7,2020/01/29,"28,820.53","28,944.24","28,728.19","28,734.45",120.0,120.04,120.42,119.85,120.37,121.48,120.75,1.1006,1.1007,1.1027,1.099,1.1026,1.11,1.1079,"9,318.26","9,329.12","9,249.04","9,275.16","23,309.32","23,392.61","23,214.28","23,379.40",163.69,"23,512.24","23,742.71","23,269.24","1,695.65","1,700.30","1,689.76","1,699.95",7.67,"103,295","1,711.14","1,725.47","1,694.46","107,983","104,785","116,476",109.03,109.06,109.26,108.96,109.16,109.43,108.97
8,2020/01/28,"28,594.28","28,823.23","28,575.75","28,722.85",120.29,120.34,120.32,119.77,120.73,121.55,120.71,1.1021,1.1022,1.1026,1.0996,1.1043,1.1104,1.1079,"9,201.82","9,288.87","9,182.33","9,269.68","23,126.93","23,243.36","23,115.15","23,215.71",-127.8,"23,642.63","23,764.91","23,242.98","1,687.53","1,695.72","1,684.75","1,692.28",-10.29,"117,125","1,719.98","1,727.01","1,692.77","107,360","105,758","116,570",109.15,109.18,109.19,108.74,109.32,109.45,108.94
9,2020/01/27,"28,542.49","28,671.79","28,440.47","28,535.80",119.99,120.01,120.49,119.87,121.02,121.62,120.67,1.1019,1.102,1.1037,1.1007,1.1055,1.1109,1.1078,"9,092.46","9,185.45","9,088.04","9,139.31","23,427.90","23,463.89","23,317.32","23,343.51",-483.67,"23,772.40","23,798.93","23,218.00","1,702.98","1,708.95","1,697.17","1,702.57",-27.87,"118,046","1,728.52","1,729.21","1,691.12","102,187","106,233","116,640",108.89,108.9,109.13,108.72,109.46,109.46,108.91
