"日付","始値","高値","安値","終値"
"2020/02/07","9,526.64","9,570.09","9,496.53","9,520.51"
"2020/02/06","9,540.98","9,575.66","9,505.68","9,572.15"
"2020/02/05","9,574.10","9,574.94","9,454.93","9,508.68"
"2020/02/04","9,398.39","9,485.38","9,374.05","9,467.97"
"2020/02/03","9,190.72","9,299.85","9,188.55","9,273.40"
"2020/01/31","9,324.33","9,324.80","9,123.22","9,150.94"
"2020/01/30","9,211.15","9,303.00","9,185.18","9,298.93"
"2020/01/29","9,318.26","9,329.12","9,249.04","9,275.16"
"2020/01/28","9,201.82","9,288.87","9,182.33","9,269.68"
"2020/01/27","9,092.46","9,185.45","9,088.04","9,139.31"
"2020/01/24","9,446.21","9,451.43","9,273.23","9,314.91"
"2020/01/23","9,377.72","9,409.20","9,334.13","9,402.48"
"2020/01/22","9,413.61","9,439.29","9,375.13","9,383.77"
"2020/01/21","9,361.07","9,397.58","9,350.20","9,370.81"
"2020/01/17","9,392.37","9,393.48","9,346.81","9,388.94"
"2020/01/16","9,313.45","9,357.92","9,301.32","9,357.13"
"2020/01/15","9,253.76","9,298.82","9,231.14","9,258.70"
"2020/01/14","9,270.61","9,298.33","9,226.49","9,251.33"
"2020/01/13","9,213.72","9,274.49","9,193.06","9,273.93"
"2020/01/10","9,232.95","9,235.20","9,164.66","9,178.86"
"2020/01/09","9,202.27","9,215.95","9,158.50","9,203.43"
"2020/01/08","9,068.03","9,168.89","9,059.38","9,129.24"
"2020/01/07","9,076.65","9,091.93","9,042.55","9,068.58"
"2020/01/06","8,943.50","9,072.41","8,943.50","9,071.47"
"2020/01/03","8,976.43","9,065.76","8,976.43","9,020.77"
"2020/01/02","9,039.46","9,093.43","9,010.89","9,092.19"
"2019/12/31","8,918.74","8,975.36","8,912.77","8,972.60"
"2019/12/30","9,004.45","9,006.36","8,909.19","8,945.99"
"2019/12/27","9,049.47","9,052.00","8,987.32","9,006.62"
"2019/12/26","8,970.21","9,022.46","8,968.46","9,022.39"
"2019/12/24","8,955.01","8,957.12","8,934.36","8,952.88"
"2019/12/23","8,950.20","8,956.64","8,934.55","8,945.65"
"2019/12/20","8,911.84","8,931.91","8,901.87","8,924.96"
"2019/12/19","8,838.97","8,888.13","8,838.97","8,887.22"
"2019/12/18","8,834.65","8,848.76","8,820.42","8,827.74"
"2019/12/17","8,829.47","8,831.99","8,804.60","8,823.36"
"2019/12/16","8,791.31","8,833.45","8,789.77","8,814.23"
"2019/12/13","8,713.91","8,768.87","8,697.58","8,734.88"
"2019/12/12","8,645.36","8,745.82","8,633.60","8,717.32"
"2019/12/11","8,631.12","8,658.48","8,622.36","8,654.05"
"2019/12/10","8,623.56","8,650.76","8,600.82","8,616.18"
"2019/12/09","8,650.86","8,678.85","8,619.77","8,621.83"
"2019/12/06","8,634.25","8,665.44","8,630.58","8,656.53"
"2019/12/05","8,587.93","8,588.89","8,541.92","8,570.70"
"2019/12/04","8,557.45","8,584.88","8,552.38","8,566.67"
"2019/12/03","8,460.72","8,523.98","8,435.40","8,520.64"
"2019/12/02","8,672.85","8,672.85","8,540.16","8,567.99"
"2019/11/29","8,682.01","8,697.33","8,664.04","8,665.47"
"2019/11/27","8,669.60","8,705.91","8,662.58","8,705.18"
"2019/11/26","8,635.40","8,659.73","8,625.62","8,647.93"
"2019/11/25","8,559.65","8,633.15","8,559.65","8,632.49"
"2019/11/22","8,530.54","8,535.46","8,477.49","8,519.89"
"2019/11/21","8,527.87","8,530.73","8,487.29","8,506.21"
"2019/11/20","8,543.57","8,578.27","8,468.63","8,526.73"
"2019/11/19","8,578.02","8,589.76","8,536.73","8,570.66"
"2019/11/18","8,529.16","8,559.78","8,503.62","8,549.94"
"2019/11/15","8,524.48","8,540.83","8,506.80","8,540.83"
"2019/11/14","8,461.06","8,485.36","8,441.58","8,479.02"
"2019/11/13","8,455.02","8,496.90","8,451.34","8,482.10"
"2019/11/12","8,471.07","8,514.84","8,462.99","8,486.09"
"2019/11/11","8,431.26","8,467.29","8,425.49","8,464.28"
"2019/11/08","8,422.67","8,475.57","8,405.89","8,475.31"
"2019/11/07","8,455.11","8,483.16","8,415.87","8,434.52"
"2019/11/06","8,426.57","8,426.57","8,379.33","8,410.63"
"2019/11/05","8,446.62","8,457.39","8,421.05","8,434.68"
"2019/11/04","8,445.50","8,451.37","8,421.30","8,433.20"
"2019/11/01","8,335.05","8,386.75","8,326.56","8,386.40"
"2019/10/31","8,314.38","8,321.80","8,248.81","8,292.36"
"2019/10/30","8,284.28","8,315.51","8,241.70","8,303.98"
"2019/10/29","8,313.35","8,319.29","8,275.14","8,276.85"
"2019/10/28","8,285.77","8,335.56","8,285.27","8,325.99"
"2019/10/25","8,150.59","8,249.97","8,150.59","8,243.12"
