"日付","始値","高値","安値","終値","前日比","5DMA","25DMA","75DMA"
"2020/02/07","23,899.01","23,943.45","23,759.42","23,827.98","-45.61","23,415.53","23,597.99","23,413.38"
"2020/02/06","23,641.10","23,995.37","23,625.13","23,873.59","+554.03","23,290.97","23,598.38","23,395.31"
"2020/02/05","23,351.47","23,414.69","23,241.64","23,319.56","+234.97","23,111.80","23,600.43","23,373.09"
"2020/02/04","22,881.13","23,118.13","22,854.45","23,084.59","+112.65","23,123.77","23,618.96","23,352.81"
"2020/02/03","22,874.27","23,023.73","22,775.92","22,971.94","-233.24","23,149.99","23,648.80","23,332.38"
"2020/01/31","23,148.92","23,421.59","23,139.98","23,205.18","+227.43","23,224.31","23,682.77","23,312.17"
"2020/01/30","23,284.58","23,318.57","22,892.95","22,977.75","-401.65","23,348.71","23,707.23","23,290.61"
"2020/01/29","23,309.32","23,392.61","23,214.28","23,379.40","+163.69","23,512.24","23,742.71","23,269.24"
"2020/01/28","23,126.93","23,243.36","23,115.15","23,215.71","-127.80","23,642.63","23,764.91","23,242.98"
"2020/01/27","23,427.90","23,463.89","23,317.32","23,343.51","-483.67","23,772.40","23,798.93","23,218.00"
"2020/01/24","23,850.12","23,869.38","23,755.32","23,827.18","+31.74","23,920.40","23,823.28","23,197.13"
"2020/01/23","23,843.51","23,910.01","23,779.23","23,795.44","-235.91","23,963.22","23,831.12","23,171.24"
"2020/01/22","23,835.49","24,040.87","23,831.10","24,031.35","+166.79","23,990.76","23,816.29","23,144.05"
"2020/01/21","24,072.81","24,081.75","23,843.48","23,864.56","-218.95","23,967.80","23,790.71","23,115.35"
"2020/01/20","24,080.68","24,108.11","24,061.67","24,083.51","+42.25","23,999.93","23,772.54","23,091.13"
"2020/01/17","24,103.45","24,115.95","24,013.75","24,041.26","+108.13","23,953.34","23,746.43","23,063.62"
"2020/01/16","23,960.20","23,975.38","23,905.38","23,933.13","+16.55","23,893.06","23,718.95","23,037.72"
"2020/01/15","23,923.48","23,997.39","23,875.82","23,916.58","-108.59","23,747.39","23,693.63","23,013.00"
"2020/01/14","23,969.04","24,059.86","23,951.66","24,025.17","+174.60","23,679.21","23,662.38","22,988.04"
"2020/01/10","23,813.28","23,903.29","23,761.08","23,850.57","+110.70","23,515.15","23,636.56","22,960.51"
"2020/01/09","23,530.29","23,767.09","23,506.15","23,739.87","+535.11","23,476.36","23,623.72","22,935.85"
"2020/01/08","23,217.49","23,303.21","22,951.18","23,204.76","-370.96","23,495.93","23,605.88","22,912.50"
"2020/01/07","23,320.12","23,577.44","23,299.92","23,575.72","+370.86","23,639.96","23,614.06","22,893.23"
