"日付","買気配","売気配","高値","安値","5DMA","25DMA","75DMA"
"2020/02/07","109.77","109.79","110.02","109.51","109.55","109.39","109.10"
"2020/02/06","109.98","109.99","109.99","109.70","109.27","109.38","109.08"
"2020/02/05","109.82","109.85","109.84","109.28","109.06","109.36","109.07"
"2020/02/04","109.51","109.52","109.54","108.53","108.90","109.34","109.05"
"2020/02/03","108.69","108.70","108.79","108.31","108.83","109.34","109.03"
"2020/01/31","108.34","108.37","109.13","108.30","108.87","109.37","109.01"
"2020/01/30","108.95","108.96","109.07","108.57","109.05","109.41","108.99"
"2020/01/29","109.03","109.06","109.26","108.96","109.16","109.43","108.97"
"2020/01/28","109.15","109.18","109.19","108.74","109.32","109.45","108.94"
"2020/01/27","108.89","108.90","109.13","108.72","109.46","109.46","108.91"
"2020/01/24","109.25","109.26","109.65","109.15","109.71","109.49","108.89"
"2020/01/23","109.46","109.48","109.86","109.25","109.90","109.49","108.87"
"2020/01/22","109.84","109.85","110.09","109.81","110.03","109.49","108.85"
"2020/01/21","109.85","109.88","110.21","109.74","110.05","109.43","108.82"
"2020/01/20","110.16","110.18","110.21","110.00","110.07","109.39","108.80"
"2020/01/17","110.16","110.17","110.28","110.03","109.94","109.32","108.77"
"2020/01/16","110.16","110.17","110.18","109.82","109.81","109.26","108.72"
"2020/01/15","109.90","109.91","110.01","109.77","109.60","109.20","108.69"
"2020/01/14","109.98","110.01","110.20","109.84","109.31","109.16","108.66"
"2020/01/10","109.49","109.52","109.74","109.42","108.99","109.11","108.64"
"2020/01/09","109.49","109.51","109.57","108.99","108.87","109.09","108.63"
"2020/01/08","109.14","109.15","109.24","107.63","108.86","109.08","108.61"
"2020/01/07","108.45","108.48","108.62","108.24","108.96","109.10","108.59"
"2020/01/06","108.37","108.40","108.50","107.75","109.14","109.14","108.58"
"2019/12/30","108.87","108.88","109.50","108.74","109.34","109.17","108.57"
"2019/12/27","109.47","109.50","109.63","109.37","109.45","109.17","108.55"
"2019/12/26","109.63","109.65","109.68","109.31","109.44","109.14","108.52"
